id;name;publisher;region;languages;group;imagesize;serial;titleid;imgcrc;filename;releasename;trimmedsize;firmware;type;card
1;Tom Clancy's Ghost Recon - Shadow Wars;Ubisoft;EUR;en,fr,de,it,es;Legacy;2048;CTR-AGRP;0004000000037500;5BD0B123;lgc-grsw;Tom_Clancys_Ghost_Recon_Shadow_Wars_EUR_3DS-LGC;229750272;100E;1;1
2;Super Monkey Ball 3D;SEGA;EUR;en,fr,de,it,es;Legacy;2048;CTR-ASMP;0004000000038900;ABD37EE3;lgc-mb3d;Super_Monkey_Ball_3D_EUR_3DS-LGC;232271360;100E;1;1
3;LEGO Star Wars III - The Clone Wars;LucasArts;EUR;en,fr,de,it,es,da;Legacy;4096;CTR-ALGP;0004000000038C00;318617EC;lgc-lsw3;Lego_StarWars_III_EUR_3DS-LGC;491603456;100E;1;1
4;The Legend of Zelda - Ocarina of Time 3D;Nintendo;EUR;en,fr,de,it,es;Legacy;4096;CTR-AQEP;0004000000033600;D65A17D9;lgc-loz;The_Legend_Of_Zelda_Ocarina_Of_Time_3D_EUR_3DS-LGC;487512576;110E;1;1
5;Super Mario 3D Land;Nintendo;EUR;en,fr,de,it,es,nl,pt,ru;Legacy;4096;CTR-AREP;0004000000053F00;C838AF40;lgc-sm3d;Super_Mario_3D_Land-EUR_3DS-LGC;325187072;220E;1;1
6;StarFox 64 3D ;Nintendo;EUR;en,fr,de,it,es;Legacy;8192;CTR-ANRP;0004000000049100;582F2393;lgc-sf64;StarFox_64_3D_EUR_3DS-LGC;656225280;210E;1;1
7;PilotWings Resort;Nintendo;EUR;en,fr,de,it,es;Legacy;1024;CTR-AWAP;0004000000031D00;B3D832CE;lgc-pwr;PilotWings_Resort_EUR_3DS-LGC;102986240;100E;1;1
8;Resident Evil - The Mercenaries 3D;Capcom;EUR;en,fr,de,it,es;Legacy;8192;CTR-ABMP;0004000000038B00;F646F194;lgc-retm;Resident_Evil_The_Mercenaries_3D_EUR_3DS-LGC;703942144;100E;1;1
9;Puzzle Bobble Universe;Square Enix;EUR;en,fr,de,it,es;Legacy;1024;CTR-ABBP;0004000000033800;6B083DE1;lgc-pbu;Puzzle_Bobble_Universe_EUR_3DS-LGC;76549632;100E;1;1
10;Rayman 3D;Ubisoft;EUR;en,fr,de,it,es;Legacy;2048;CTR-ARYP;0004000000033900;AA5A128B;lgc-r3d;Rayman_3D_EUR_3DS-LGC;203188224;100E;1;1
11;Super Street Fighter IV - 3D Edition;Capcom;EUR;en,fr,de,it,es;Legacy;16384;CTR-ASSP;0004000000033C00;4D7A0191;lgc-ssf4;Super_Street_Fighter_IV_3D_EUR_3DS-LGC;1837340160;100E;1;1
12;Dead or Alive - Dimensions;Koei;EUR;en,fr,de,it,es,nl;Legacy;16384;CTR-ADDP;0004000000038A00;52518AB3;lgc-doad;Dead_Or_Alive_Dimensions_EUR_3DS-LGC;1440866816;100E;1;1
13;Tom Clancy's Splinter Cell 3D;Ubisoft;EUR;en,fr,de,it,es;Legacy;16384;CTR-ASCP;0004000000033A00;F73BDD7B;lgc-sc3d;Splinter_Cell_3D_EUR_3DS-LGC;1810411008;100E;1;1
14;Ridge Racer 3D;Namco;EUR;en,fr,de,it,es;Legacy;8192;CTR-ARRP;0004000000033B00;3CCDB3A7;lgc-rr3d;Ridge_Racer_3D_EUR_3DS-LGC;815070720;100E;1;1
15;Doctor Lautrec and The Forgotten Knights;Konami;EUR;en,fr,de,it,es;Legacy;16384;CTR-ADLP;0004000000056200;6AD0826E;lgc-dlf;Doctor_Lautrec_And_The_Forgotten_Knights_EUR_3DS-LGC;1557019136;210E;1;1
16;Mario Kart 7;Nintendo;EUR;en,fr,de,it,es,nl,pt,ru;Legacy;8192;CTR-AMKP;0004000000030700;73C1F8D4;lgc-mk7;Mario_Kart_7_EUR_3DS-LGC;691800576;220E;1;1
17;Cubic Ninja;Ubisoft;EUR;en,fr,de,it,es,nl;CONTRAST;1024;CTR-AQNP;000400000004B300;494E75BB;ctr-aqnp;CubicNinjaEUR3DS-CONTRAST;184078848;100E;1;1
18;Steel Diver;Nintendo;EUR;en,fr,de,it,es;CONTRAST;2048;CTR-ASDP;0004000000032300;81F3BD0D;ctr-asdp;SteelDiverEUR3DS-CONTRAST;179480064;110E;1;1
19;Tetris;Nintendo;EUR;en,fr,de,it,es,nl;CONTRAST;2048;CTR-ATLP;000400000004C100;3600DF06;ctr-atlp;TetrisEUR3DS-CONTRAST;91917824;100E;1;1
20;Asphalt 3D;Ubisoft;EUR;en,fr,de,it,es;CONTRAST;4096;CTR-ASFP;0004000000037600;A6E2CE35;ctr-asfp;Asphalt3DEUR3DS-CONTRAST;465382400;100E;1;1
21;LEGO Pirates of the Caribbean - The Video Game;Disney Interactive Studios;EUR;en,fr,de,it,es,nl,sv,nb;CONTRAST;4096;CTR-APCP;0004000000045600;A28B3587;ctr-apcp;LEGOPiratesoftheCaribbeanTheVideoGameEUR3DS-CONTRAST;431763456;100E;1;1
